,Portfolio returns
1926-07,0.010643223149148728
1926-08,0.02905133421417226
1926-09,-0.004285897083811288
1926-10,-0.03711248173217323
1926-11,0.036685474733342965
1926-12,0.017854548559515432
1927-01,0.022541532290390697
1927-02,0.03115345694889343
1927-03,-0.007496415895534044
1927-04,0.0109306752101383
1927-05,0.0703632583724193
1927-06,0.002551168330695148
1927-07,0.10013089914762609
1927-08,0.029810785901820163
1927-09,0.030499582866614527
1927-10,-0.031671737540565646
1927-11,0.06556470609221436
1927-12,0.008807961425502902
1928-01,-0.01174098168018433
1928-02,-0.003414512124758927
1928-03,0.13804961643016692
1928-04,0.05297343725224687
1928-05,0.010134388275057252
1928-06,-0.05696997398010849
1928-07,0.005870781964745594
1928-08,0.07909869123603631
1928-09,0.01327308844741951
1928-10,0.02448889608452385
1928-11,0.15968056516364965
1928-12,0.030921007617072054
1929-01,0.029740379231743167
1929-02,-0.023191235918125847
1929-03,0.060943466894137266
1929-04,0.0016096121214605758
1929-05,-0.022105728503682795
1929-06,0.10363104493717648
1929-07,0.056890084356960684
1929-08,0.0944114372963137
1929-09,-0.06045336405183326
1929-10,-0.21220123876438335
1929-11,-0.1433385338620345
1929-12,0.04948758721982746
1930-01,0.06682863722665769
1930-02,0.036598693717966695
1930-03,0.1157496440674694
1930-04,0.021481529058743645
1930-05,-0.033458493988578135
1930-06,-0.17375122117004646
1930-07,0.05560891378221971
1930-08,0.015441124033969853
1930-09,-0.15876384203253932
1930-10,-0.12871759980186104
1930-11,-0.03270428840375643
1930-12,-0.10765158918470737
1931-01,0.04989476647309148
1931-02,0.14570780808882303
1931-03,-0.07920456691387406
1931-04,-0.10439512971824894
1931-05,-0.11065902949209416
1931-06,0.16976695034974768
1931-07,-0.056092722409917195
1931-08,0.05154584268879833
1931-09,-0.3158800197704102
1931-10,0.13948825108508198
1931-11,-0.10690108174278375
1931-12,-0.13246316021701138
1932-01,-0.07444169949543426
1932-02,0.07019736431895557
1932-03,-0.09062159281751463
1932-04,-0.2035623236321114
1932-05,-0.23295129371097173
1932-06,0.08485926122047455
1932-07,0.37320651947885597
1932-08,0.3632380836913311
1932-09,-0.09765545543352529
1932-10,-0.1455757947000693
1932-11,-0.04246984295535174
1932-12,0.05153823630721062
1933-01,-0.0024039606116608592
1933-02,-0.1686035227119243
1933-03,0.03550341778208019
1933-04,0.4680870558885364
1933-05,0.1879134125940307
1933-06,0.11396661383522962
1933-07,-0.13657959395592661
1933-08,0.11954901769916232
1933-09,-0.0880004453724189
1933-10,-0.0785806143877354
1933-11,0.12542927344983307
1933-12,-0.00930159389104348
1934-01,0.1356167476011859
1934-02,-0.033402072034551825
1934-03,-0.0011025346813919156
1934-04,0.002600611078734434
1934-05,-0.04772526549181007
1934-06,0.021056894773808447
1934-07,-0.09942983188548479
1934-08,0.05538885078409713
1934-09,-0.007984009985269054
1934-10,-0.01784023769770215
1934-11,0.08349986833155015
1934-12,0.03293769704633818
1935-01,-0.014118702639311385
1935-02,0.00328783414697758
1935-03,-0.042010738932735325
1935-04,0.10519513967733028
1935-05,0.015250524876084682
1935-06,0.0435146414526262
1935-07,0.05499766701190936
1935-08,0.014405939640345674
1935-09,0.026928982971350376
1935-10,0.0926605183448256
1935-11,0.05385022996270123
1935-12,0.06786891455647868
1936-01,0.08903620465074247
1936-02,0.0036338131939958225
1936-03,0.008120707227509209
1936-04,-0.09681543827537417
1936-05,0.018983723353526
1936-06,0.01121714136363753
1936-07,0.08745167555376335
1936-08,-0.0005107972453277411
1936-09,0.004373311554770139
1936-10,0.0708380279353711
1936-11,0.031161542336385212
1936-12,0.039834832949765385
1937-01,0.05522787018632251
1937-02,-0.018360883471767436
1937-03,-0.006497057081933256
1937-04,-0.06946796863912215
1937-05,0.00784542634196081
1937-06,-0.02237947105576406
1937-07,0.07284975069086402
1937-08,-0.03092526798913045
1937-09,-0.1304838336100772
1937-10,-0.06454812289438347
1937-11,-0.06098648184897419
1937-12,-0.016502228013337564
1938-01,0.0016923373182091417
1938-02,0.06201164352471525
1938-03,-0.23969707983120503
1938-04,0.16129999052331773
1938-05,-0.017921618210667706
1938-06,0.21575925696482376
1938-07,0.06175126549965389
1938-08,-0.031956425354104666
1938-09,0.021967275187865808
1938-10,0.05732022631847516
1938-11,-0.019015350849043315
1938-12,0.03371115196896928
1939-01,-0.05931788554396649
1939-02,0.012542741972759876
1939-03,-0.09789419922379458
1939-04,-0.021340065737162676
1939-05,0.057845311727090794
1939-06,-0.06391534325557437
1939-07,0.08298462230981041
1939-08,-0.06431873302909318
1939-09,0.1459323666390967
1939-10,0.009034252572444789
1939-11,-0.031052272502041477
1939-12,0.033051370330850795
1940-01,-0.030161377917838638
1940-02,-0.010622364616395187
1940-03,0.028962508565837694
1940-04,-0.010423823420561387
1940-05,-0.21559232166841577
1940-06,0.03661484735350925
1940-07,0.02430716533104816
1940-08,0.014226136352741132
1940-09,0.027445273329316226
1940-10,0.029409212649159612
1940-11,-0.020167390677832013
1940-12,0.007962127262710426
1941-01,-0.03283766316412473
1941-02,-0.006185403362845113
1941-03,0.009566147747611206
1941-04,-0.05860183614075229
1941-05,0.02055404208064405
1941-06,0.08713748416687639
1941-07,0.05357730757380206
1941-08,-0.011176586342982565
1941-09,-0.009475159406799681
1941-10,-0.05099552655626498
1941-11,-0.013835858301656657
1941-12,-0.032219786404406134
1942-01,0.0011726616236790938
1942-02,-0.03447692099361961
1942-03,-0.06466868254168272
1942-04,-0.04185671281318838
1942-05,0.0899050957401153
1942-06,0.051992528028257184
1942-07,0.03911462330783986
1942-08,0.023893735434643834
1942-09,0.04168798377247859
1942-10,0.06198840638467166
1942-11,0.02171681127742281
1942-12,0.05850191326890364
1943-01,0.07345684236929992
1943-02,0.058510157817003916
1943-03,0.06911555226401123
1943-04,0.011725998090261518
1943-05,0.04746275470892526
1943-06,0.025156018526775112
1943-07,-0.045362975673926796
1943-08,0.011166434287201099
1943-09,0.03640338159096516
1943-10,-0.012612064249712616
1943-11,-0.05929100728703693
1943-12,0.06708520536790953
