,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
194604,0.0354,0.0142,0.0433,0.0877,0.017,0.0159,0.072,0.1467,0.0431,0.0168
194605,0.0335,0.0514,0.0501,0.0368,0.0514,0.0282,0.019,0.0564,0.0306,0.0339
194606,-0.036,-0.0592,-0.0358,-0.0315,-0.0526,0.003,-0.0769,-0.0552,-0.0278,-0.0325
194607,-0.0075,-0.0475,-0.0327,-0.0006,-0.0329,-0.0008,-0.0299,-0.0322,-0.0361,-0.0497
194608,-0.0527,-0.1034,-0.0669,-0.0561,-0.0689,-0.07,-0.0483,-0.0324,-0.0535,-0.068
194609,-0.1068,-0.1488,-0.1039,-0.0805,-0.0979,-0.0474,-0.0688,-0.0703,-0.0891,-0.1438
194610,0.0039,-0.0331,-0.0188,-0.0066,-0.0282,-0.0513,-0.0225,-0.0024,0.0145,-0.0046
194611,-0.0131,-0.0113,0.0174,0.0056,-0.0212,0.0179,-0.0494,0.0167,0.008,0.0001
194612,0.0375,0.0616,0.0664,0.0439,0.0473,0.0377,0.0406,0.0723,0.0607,0.0274
194701,0.0023,0.109,0.009,-0.0065,0.0538,0.0103,0.0068,-0.0532,-0.0016,0.0047
194702,-0.0031,0.0154,-0.0068,-0.027,-0.0208,-0.0205,-0.0039,-0.0419,-0.0088,-0.0128
194703,-0.022,-0.027,-0.016,0.0229,-0.0229,-0.0215,-0.022,-0.0126,-0.0279,-0.0333
194704,-0.0668,-0.0408,-0.0574,-0.0044,-0.0521,-0.0022,-0.0797,-0.086,-0.0372,-0.0627
194705,-0.005,-0.0216,-0.0209,0.0252,-0.0029,-0.011,-0.0037,-0.0268,-0.0248,-0.0207
194706,0.0653,0.0587,0.0574,0.0776,0.0387,-0.0317,0.0988,0.0419,0.0398,0.0319
194707,0.0465,0.052,0.0388,0.0387,0.0634,0.0081,0.0461,0.026,0.0253,0.0599
194708,-0.0138,-0.0076,-0.0101,-0.023,-0.0421,0.0036,-0.0354,-0.0383,0.0026,-0.0319
194709,0.004,0.0017,0.007,-0.0271,0.0113,0.0084,-0.028,-0.0262,-0.0132,-0.0096
194710,0.0136,0.0293,0.0324,0.0524,0.0174,0.0021,0.0303,0.0122,0.0013,0.0099
194711,-0.0169,-0.0268,-0.012,-0.0034,-0.0055,-0.0257,-0.0241,-0.0304,-0.0758,-0.0195
194712,0.0069,0.0224,0.0262,0.0929,0.0248,0.0044,0.0036,0.031,0.0119,0.0372
194801,-0.0269,-0.0535,-0.0408,-0.0743,-0.0553,0.001,-0.0329,-0.0823,-0.0022,-0.0087
194802,-0.0612,-0.0542,-0.0533,-0.0296,-0.0394,-0.0106,-0.038,-0.0353,-0.0346,-0.0411
194803,0.0546,0.0725,0.0962,0.0993,0.111,0.0195,0.0667,0.0633,0.0661,0.0994
194804,0.0131,0.0117,0.0251,0.1122,-0.0059,0.0265,0.0508,0.0214,0.015,0.0325
194805,0.0509,0.1443,0.0787,0.0608,0.1277,0.0249,0.0857,0.0678,0.0573,0.0676
194806,-0.02,0.003,-0.0098,0.0349,-0.0141,0.0044,-0.013,-0.0219,0.0257,-0.0075
194807,-0.0167,-0.0437,-0.0499,-0.0718,-0.066,-0.0165,-0.0772,-0.0425,-0.0434,-0.0499
194808,0.0002,0.0112,0.0041,-0.0201,0.0307,0.0006,0.0249,-0.019,0.001,0.0153
194809,-0.0395,-0.0388,-0.0265,-0.0446,-0.0317,-0.0023,-0.0093,-0.0308,-0.0089,-0.0344
194810,0.0364,0.0795,0.0669,0.092,0.0685,0.0111,0.0414,0.0519,0.0442,0.0496
194811,-0.0617,-0.1187,-0.1015,-0.1218,-0.0925,-0.0206,-0.0572,-0.0574,-0.0905,-0.1058
194812,0.0068,0.0344,0.0404,0.0472,0.0631,0.0109,0.0153,0.0454,0.0265,0.0285
194901,0.0367,0.0244,0.0031,-0.0383,-0.0133,-0.0126,0.0117,0.0457,0.0476,0.0032
194902,-0.0193,-0.0369,-0.0343,-0.043,-0.0421,-0.003,-0.0227,-0.0093,0.0068,-0.032
194903,0.032,0.0342,0.0356,0.0606,0.0582,0.0136,0.0439,0.055,0.0377,0.049
194904,-0.0164,-0.0422,-0.0354,0.0128,-0.0371,-0.0164,-0.0164,0.0024,0.0123,-0.0152
194905,-0.0042,-0.0283,-0.033,-0.0563,-0.053,-0.0218,0.0019,-0.0188,-0.0058,-0.0269
194906,0.0102,0.0129,0.0023,-0.0118,0.0011,0.0112,0.0286,0.0216,-0.0092,-0.0138
194907,0.0494,0.0943,0.0594,0.0624,0.069,0.0241,0.0516,0.06,0.0473,0.0419
194908,0.0397,0.0231,0.0217,0.0549,0.0075,0.0098,0.015,0.0019,0.0366,0.0145
194909,0.0283,0.0265,0.0393,0.0303,0.0365,0.0123,0.0232,0.0186,0.0406,0.0339
194910,0.0153,0.0734,0.0434,0.0371,0.0374,0.0188,0.0066,0.0338,0.0132,0.0242
194911,0.0184,0.0475,0.0324,-0.0277,0.039,0.0167,0.021,0.0481,0.0324,0.0123
194912,0.0513,0.0827,0.065,0.0109,0.0917,0.0159,0.0476,0.087,0.0326,0.0718
195001,0.0137,0.0187,0.0198,-0.0064,0.0453,0.0186,0.0043,0.0106,0.0373,0.032
195002,0.0053,0.0349,0.0194,-0.0053,0.034,0.0066,0.0232,0.0192,0.0239,0.0101
195003,-0.0056,0.0186,0.0081,0.0485,0.0242,0.0457,-0.0017,-0.029,0.0055,-0.007
195004,0.0014,0.1057,0.0745,0.0323,0.0473,0.0237,-0.0036,0.0552,0.0095,0.0152
195005,0.0207,0.0644,0.0598,0.088,0.0023,0.0197,0.0316,0.0396,0.0183,0.0135
195006,-0.0569,-0.0404,-0.0655,-0.0452,-0.0796,-0.0428,-0.0442,-0.0419,-0.0763,-0.0679
195007,0.0044,-0.0271,0.0214,0.0881,-0.0292,-0.0133,-0.0096,-0.0694,-0.0523,0.075
195008,0.0394,0.0923,0.0634,0.0432,0.0526,0.0256,0.0438,0.0368,0.0338,0.0232
195009,0.0488,0.0879,0.045,0.0353,0.0501,-0.0046,0.0846,0.0615,0.0449,0.0651
195010,-0.0037,0.0061,0.0046,0.0029,-0.0149,0.0021,0.0084,-0.0176,-0.0073,-0.0151
195011,0.0002,-0.0261,0.0594,0.0528,0.0264,-0.0024,0.0111,0.0468,-0.0117,0.0394
195012,0.0283,0.015,0.0669,0.0868,0.0388,0.0189,0.0276,0.0606,0.0359,0.1105
195101,0.0462,0.0922,0.0613,0.063,0.0773,0.0188,0.0362,0.031,0.0502,0.0639
195102,0.0096,0.028,0.0123,0.0096,0.0092,0.0411,0.0312,0.0146,0.0311,-0.0042
195103,-0.0277,0.0118,-0.0304,-0.0238,-0.0091,-0.011,-0.021,0.017,-0.0141,-0.0284
195104,0.0095,0.0342,0.0685,0.1081,0.0317,0.0085,0.0039,0.1041,0.0021,0.0375
195105,-0.0127,-0.0532,-0.0214,-0.0301,-0.0277,-0.0041,-0.0132,0.0157,-0.0005,-0.0327
195106,-0.0358,-0.0683,-0.038,0.0109,-0.016,-0.0018,-0.0271,0.0083,-0.0039,-0.0512
195107,0.0313,0.031,0.0845,0.1137,0.06,0.028,0.0291,0.1442,0.0531,0.074
195108,0.0351,0.07,0.0487,0.0574,0.0592,0.0264,0.0269,-0.0138,0.0213,0.0345
195109,-0.0041,0.0266,0.0023,-0.0076,0.0344,-0.0004,0.032,-0.0184,0.0132,0.0358
195110,-0.0312,-0.0204,-0.0415,0.0117,-0.0576,-0.0108,-0.0309,-0.0594,0.0071,-0.0363
195111,-0.0006,0.0201,0.0043,-0.0079,0.0212,0.0049,0.0145,-0.005,0.0165,0.021
195112,0.0191,0.0248,0.0457,0.0472,0.0505,0.0087,-0.0024,0.0511,0.0326,0.0213
195201,0.0052,-0.0117,-0.003,0.066,-0.0187,0.0017,-0.0049,0.0073,0.0308,0.0332
195202,-0.0201,0.0046,-0.0384,-0.0339,-0.0342,-0.0063,-0.0366,-0.0422,0.007,-0.0157
195203,0.0171,0.0833,0.0297,0.0872,0.0495,0.0126,0.0252,0.0037,0.0223,0.0584
195204,-0.0332,-0.03,-0.0662,-0.0765,-0.0344,-0.0074,-0.0177,-0.0546,-0.018,-0.0339
195205,0.0214,0.0401,0.0428,0.0351,0.0296,0.0103,0.0264,0.0253,0.0299,0.0294
195206,0.0287,0.0524,0.0432,0.0545,0.0566,0.0206,0.0293,-0.0097,0.0109,0.0402
195207,0.0065,0.0253,0.0222,-0.0102,0.0164,0.0024,0.0194,-0.0439,0.0217,0.0113
195208,0.0096,0.0204,-0.0166,-0.0266,-0.0032,0.0088,-0.003,-0.0055,0.019,-0.0013
195209,-0.0281,-0.0078,-0.021,-0.043,0.009,-0.0034,-0.0076,-0.041,0.0035,-0.0137
195210,-0.0123,0.012,-0.0155,0.0038,-0.0111,0.0092,-0.011,-0.0147,0.0049,-0.0157
195211,0.0591,0.0652,0.0871,0.0207,0.0887,0.0407,0.0454,0.0725,0.0519,0.0727
195212,0.0147,0.0701,0.0267,0.0455,0.0279,0.0088,0.0129,-0.0196,0.0179,0.0374
195301,0.0201,-0.0036,0.0066,-0.0299,-0.0213,0.0102,0.0083,-0.0512,0.0094,0.0108
195302,0.0169,-0.0117,-0.0098,0.0033,0.0049,-0.0043,-0.0015,0.0209,0.0041,-0.0023
195303,-0.0164,-0.0438,-0.0163,-0.0056,-0.0081,-0.0043,-0.0048,-0.0016,0.0014,-0.0144
195304,-0.0024,-0.0197,-0.0268,-0.0518,-0.0086,-0.0104,-0.008,-0.0535,-0.032,-0.032
195305,0.0022,-0.0002,0.0024,0.0184,0.0105,0.0036,0.0151,-0.0003,0.0003,0.0144
195306,-0.0086,-0.0333,-0.0232,-0.0008,-0.0206,0.005,-0.022,-0.0329,-0.0306,-0.0205
195307,0.0264,0.0072,0.0261,0.0393,0.0219,0.0094,0.0197,0.0366,0.0337,0.0143
195308,-0.0342,-0.0636,-0.0485,-0.0637,-0.0452,-0.0084,-0.0234,0.0005,-0.0037,-0.068
195309,0.0016,-0.0082,0.0118,-0.0192,0.0309,0.0178,0.001,0.0043,0.0161,-0.0098
195310,0.0072,0.0774,0.0602,0.0564,0.0715,0.0138,0.0086,0.0266,0.0449,0.0368
195311,0.0056,0.0049,0.0418,0.0199,0.0482,0.0226,0.0334,0.0798,0.03,0.0278
195312,-0.005,-0.0121,0.0064,0.0044,0.005,0.0054,0.0125,-0.0134,0.0059,-0.0231
195401,0.0417,0.0528,0.0455,0.0864,0.069,0.0189,0.0332,0.0565,0.0328,0.0666
195402,-0.0023,0.0171,0.0097,0.028,0.0534,0.0257,0.0044,-0.0018,0.0157,0.0154
195403,0.0141,0.0351,0.0488,0.0428,0.0859,0.0172,0.0038,0.0028,0.0298,0.0179
195404,0.009,0.0409,0.0577,0.0615,0.0889,0.0198,0.0154,0.012,0.0123,0.0287
195405,0.0248,0.0448,0.044,0.0297,-0.0026,0.0124,0.0284,0.0161,0.0269,0.044
195406,0.0076,0.0119,0.0362,-0.0587,0.0929,0.0054,0.025,-0.0243,0.0134,0.0148
195407,0.0637,0.0985,0.052,0.0423,0.0008,0.0436,0.0421,0.0821,0.0543,0.0683
195408,-0.0271,-0.0336,-0.0375,0.0052,-0.0429,-0.0143,-0.0021,-0.0257,-0.0173,-0.0226
195409,0.0383,0.1447,0.066,0.1001,0.073,0.0249,0.0484,0.0282,0.0201,0.0433
195410,-0.0225,-0.0077,-0.0111,-0.0198,-0.0178,-0.0085,-0.0253,-0.0162,-0.0381,0.0057
195411,0.0623,0.0445,0.1368,0.0804,0.1347,0.0343,0.084,0.1255,0.0569,0.1116
195412,0.0433,0.0727,0.0654,0.0647,0.029,0.0158,0.0226,0.0613,0.0358,0.0939
195501,0.0027,0.0054,-0.0012,0.0041,0.0414,0.008,0.0173,-0.0288,0.0145,0.0088
195502,0.0157,-0.0103,0.0417,0.0242,0.0507,0.0399,0.0131,0.0285,0.0365,0.0376
195503,-0.0085,0.0005,0.0036,-0.0023,-0.0153,-0.0019,-0.014,0.061,-0.0072,0.0094
195504,0.0398,0.0567,0.0433,0.0058,0.0539,0.0197,0.0183,0.0001,0.0255,0.0344
195505,-0.0024,-0.0113,0.03,-0.0062,0.0026,0.0129,0.0302,0.0314,-0.0013,0.0164
195506,0.026,0.101,0.0959,0.112,0.0445,0.0069,0.0442,0.0017,0.0167,0.0237
195507,0.0195,0.1882,-0.0137,0.0276,-0.0306,0.0261,0.0203,0.0014,0.0369,-0.018
195508,-0.0069,-0.0427,0.0312,-0.011,0.0011,-0.0244,0.0164,0.0015,0.0008,0.0047
195509,-0.0168,0.0875,-0.0057,-0.0038,-0.042,0.0106,0.0341,-0.032,-0.0263,-0.025
195510,-0.0081,-0.0487,-0.0316,-0.0099,-0.0546,-0.0115,-0.0251,0.0081,-0.0102,-0.0284
195511,0.036,0.0906,0.0802,0.0858,0.1089,0.0163,0.06,0.0626,0.0339,0.0805
195512,0.012,-0.0409,0.0311,0.037,0.0504,0.0086,-0.0075,0.0622,-0.0012,-0.0072
195601,-0.0162,-0.0659,-0.0471,0.0054,-0.0534,0.0186,-0.0441,-0.065,-0.0033,-0.0276
195602,0.0118,0.0573,0.0487,0.0427,0.0605,0.0016,0.0281,0.0825,0.0192,0.0317
195603,0.0174,0.041,0.0797,0.1144,0.1039,0.0143,0.0043,0.0724,0.0378,0.0568
195604,0.0081,-0.0512,0.0121,0.0362,-0.0051,-0.0088,-0.0182,0.0274,-0.0218,0.005
195605,-0.0323,-0.0445,-0.0628,-0.0637,-0.0535,-0.0106,-0.0455,-0.0124,-0.0074,-0.0548
195606,0.0066,0.0661,0.0487,0.0274,0.0663,0.0128,0.022,0.0358,0.0234,0.0159
195607,0.0198,0.0458,0.0625,0.06,0.0528,0.0269,0.048,0.031,0.0524,0.0241
195608,-0.0137,0.0061,-0.0321,-0.0527,-0.0355,-0.0136,-0.0269,-0.0307,-0.0248,-0.036
195609,-0.0323,-0.0091,-0.0616,-0.0581,-0.0685,-0.0287,-0.0457,-0.0369,-0.0387,-0.044
195610,0.004,-0.0135,0.0098,0.0054,0.0326,-0.0139,0.0148,0.0058,0.0114,0.011
195611,-0.0042,-0.0353,-0.0094,0.0531,0.0068,0.0152,-0.0217,-0.0131,0.0042,0.0021
195612,0.0126,0.0086,0.0484,0.0414,0.0441,0.0255,-0.006,0.0605,0.0182,0.0202
195701,0.0177,-0.0486,-0.0571,-0.0412,-0.0565,0.029,-0.0129,-0.0226,0.0264,-0.0054
195702,-0.0141,-0.0165,-0.0278,-0.0227,-0.0065,0.0032,-0.0091,-0.0035,-0.0029,-0.0257
195703,0.016,0.0044,0.0199,0.0317,0.0478,0.0152,0.021,0.0821,0.0169,0.0231
195704,0.0139,0.0735,0.036,0.0694,0.0839,0.0045,0.0025,0.0543,0.0319,0.0315
195705,0.0139,0.0064,0.0353,0.0761,0.0579,0.0103,0.027,0.0478,0.0225,0.0136
195706,-0.0065,-0.0023,0.0023,-0.0174,0.0523,-0.0209,-0.021,0.0645,-0.0511,-0.0111
195707,0.0093,0.0329,0.0054,0.0099,0.0106,-0.0024,0.0288,0.0298,0.0002,0.0112
195708,-0.0199,-0.0274,-0.0627,-0.0574,-0.0706,-0.0012,-0.0271,-0.0226,-0.0258,-0.0541
195709,-0.0115,-0.0715,-0.0689,-0.0797,-0.0638,-0.0222,0.0042,-0.0371,-0.0172,-0.0664
195710,-0.0213,-0.0433,-0.0467,-0.058,-0.0179,-0.021,-0.0393,-0.0045,-0.0069,-0.0688
195711,0.0336,-0.0571,0.0338,0.0243,0.065,0.0149,0.0173,0.0777,0.0438,0.0033
195712,0.0044,-0.0827,-0.0457,-0.07,-0.033,0.0126,-0.0172,-0.0038,0.0256,-0.0436
195801,0.0745,0.0551,0.0543,0.0158,0.0401,0.0426,0.0749,-0.0005,0.0624,0.1102
195802,0.0204,-0.0139,-0.0197,-0.0458,-0.0169,0.0066,0.0141,0.0492,0.0128,-0.0178
195803,0.042,0.0265,0.0152,0.0791,0.0258,0.0117,0.0409,0.0753,0.0197,0.0251
195804,0.0355,0.0428,0.0142,0.0515,-0.0014,0.027,0.0299,0.0752,0.0509,0.0455
195805,0.0272,0.0468,0.0342,0.0037,0.0153,0.0211,0.0362,0.0107,0.0141,0.0374
195806,0.0265,0.0264,0.0236,0.0495,0.0359,0.0166,0.0214,0.0323,0.0219,0.0288
195807,0.0163,0.0938,0.0848,0.0069,0.0377,0.009,0.0187,0.0597,0.0113,0.0531
195808,0.0293,-0.0029,0.0241,0.0192,0.0207,0.024,0.0571,0.0198,-0.0101,0.0307
195809,0.0426,0.1029,0.0454,0.0328,0.0618,0.0505,0.0401,0.1172,0.0348,0.0464
195810,0.0251,0.0184,0.0306,0.0133,0.0444,0.0145,0.0122,0.0105,0.0428,0.0364
195811,0.0409,0.0203,0.0292,0.0192,0.0435,0.0213,0.059,0.0803,0.0295,0.047
195812,0.0266,0.0308,0.052,0.0125,0.1306,0.133,0.0571,0.0461,0.0594,0.0305
195901,0.0381,-0.0018,0.008,0.0051,-0.0218,0.0391,0.0349,-0.0062,0.0124,0.0195
195902,0.03,-0.014,0.0362,-0.0739,0.0514,0.0484,0.0266,0.0386,0.0125,0.0169
195903,0.003,-0.0075,-0.0023,0.0214,0.0232,-0.0042,-0.0166,0.0426,0.0163,-0.0072
195904,0.0301,0.0977,0.0416,0.0172,0.0839,0.0463,0.0153,0.1192,-0.0113,0.0207
195905,0.0134,0.0624,0.0405,-0.0095,0.0476,-0.0104,0.0271,-0.0107,-0.011,0.0065
195906,0.0167,0.0048,0.0128,-0.0272,-0.0097,-0.0106,0.0226,0.0659,-0.0223,0.0141
195907,0.037,0.0809,0.0373,0.0496,0.0052,0.006,0.02,0.0474,0.0385,0.0015
195908,-0.0039,0.0323,-0.0189,-0.0313,-0.0253,0.0061,0.0078,-0.0352,0.0134,-0.022
195909,-0.0322,-0.0429,-0.0496,-0.069,-0.0421,-0.0096,-0.0208,-0.0496,-0.0434,-0.0411
195910,0.0379,-0.011,0.0142,0.0117,0.0506,0.013,0.0082,0.0238,0.0088,0.0017
195911,0.0124,0.0012,0.0219,-0.0041,0.0921,-0.0123,0.0243,0.0562,0.004,-0.005
195912,0.0123,0.059,0.0216,0.0423,0.0343,0.0431,0.0263,-0.0163,0.0213,0.0208
196001,-0.0335,-0.1136,-0.0841,-0.0749,-0.0983,0.0095,-0.057,-0.0635,-0.0207,-0.0443
196002,0.0293,-0.0207,0.0049,-0.0343,0.0539,0.0836,0.0406,0.0027,0.0277,0.0001
196003,-0.0141,-0.0526,-0.0355,-0.008,0.0158,0.0014,0.0016,0.0161,0.0177,-0.0234
196004,0.0154,-0.0209,-0.0353,-0.0426,0.0056,-0.0105,-0.0021,0.0168,0.0137,-0.0114
196005,0.0652,-0.0051,0.0386,-0.0346,0.0957,0.0332,0.0329,0.1377,0.0152,0.0033
196006,0.0432,0.0069,0.0168,0.0352,0.0142,-0.0034,0.0378,-0.0016,0.0579,0.0285
196007,-0.0095,-0.005,-0.0415,0.007,-0.0421,0.001,-0.03,-0.0386,-0.0123,-0.0154
196008,0.0452,0.032,0.017,0.041,0.0116,0.0711,0.0314,0.0246,0.0446,0.0302
196009,-0.0341,-0.053,-0.0703,-0.01,-0.0873,-0.0591,-0.0839,-0.0871,-0.0455,-0.058
196010,0.0165,-0.0098,-0.0097,0.0243,-0.0326,0.0014,0.0022,-0.0349,-0.0031,-0.0086
196011,0.0868,-0.007,0.0485,0.034,0.0702,0.0419,0.0693,0.0404,0.0378,0.0675
196012,0.0447,-0.0022,0.0393,0.053,0.0304,0.1245,0.0226,0.0622,0.0642,0.0418
196101,0.0544,0.0857,0.0663,0.0976,0.0288,0.0789,0.029,0.0605,0.0486,0.0783
196102,0.0665,0.0443,0.0505,0.0073,0.027,0.0075,0.0495,0.0519,0.0367,0.0568
196103,0.0482,0.0391,0.0161,0.0142,0.0277,0.0743,0.0585,0.038,0.0174,0.0345
196104,-0.0136,-0.0104,-0.0134,0.0476,0.0048,0.008,0.0058,-0.003,0.0186,0.0049
196105,0.0367,0.0165,0.0458,0.0015,0.0287,-0.0104,0.0409,0.0228,0.025,0.0421
196106,-0.0142,-0.0188,-0.0296,-0.0402,-0.0335,-0.0399,0.0053,-0.0338,-0.0182,-0.0391
196107,0.0284,0.0699,0.0247,0.0227,0.0179,0.0643,0.0245,0.0345,0.0289,0.0126
196108,0.0513,0.0203,0.0246,0.002,0.0448,0.0026,0.0326,0.0384,0.038,0.053
196109,0.0003,0.0554,-0.0446,-0.0643,0.0022,-0.0277,0.004,-0.0131,0.014,-0.0179
196110,0.0337,0.0035,-0.0023,0.0662,0.0337,0.0019,0.0902,0.0352,0.0531,0.0227
196111,0.0549,0.0984,0.0296,0.0554,0.0294,0.0849,0.0511,0.0327,0.0341,0.0391
196112,-0.0316,0.0212,0.0017,0.0379,-0.0069,0.0333,-0.0031,-0.0202,-0.0422,-0.0186
196201,-0.0619,-0.0096,-0.0355,0.0009,-0.0496,-0.0608,-0.0863,-0.0462,-0.0258,-0.0137
196202,0.0023,-0.0152,0.014,0.0535,-0.0002,0.0409,0.0163,0.0376,0.0262,0.017
196203,-0.011,-0.0117,-0.0045,-0.0166,0.0021,-0.0294,0.0091,0.0054,0.0198,-0.0184
196204,-0.0676,-0.0435,-0.0794,-0.0362,-0.1106,-0.0471,-0.0442,-0.1101,-0.0279,-0.0711
196205,-0.1129,-0.051,-0.0821,-0.0498,-0.1117,-0.0711,-0.0908,-0.109,-0.1047,-0.0791
196206,-0.0883,-0.0657,-0.0954,-0.0486,-0.1157,-0.0852,-0.1026,-0.1259,-0.0508,-0.0917
196207,0.0522,0.0867,0.0537,0.049,0.1132,0.0723,0.0438,0.0778,0.0745,0.0571
196208,0.0089,0.0378,0.0241,0.0184,0.034,0.0158,0.043,-0.0792,0.0317,0.0389
196209,-0.0563,-0.0287,-0.0573,-0.0178,-0.0888,-0.0605,-0.0661,-0.0405,-0.0283,-0.0575
196210,-0.0328,0.0232,0.0157,-0.0029,-0.0015,0.0277,-0.0134,0.0247,-0.0108,0.0066
196211,0.1209,0.0715,0.1316,0.1071,0.1457,0.0716,0.1118,0.1759,0.0759,0.1489
196212,0.0143,0.029,-0.0099,0.0469,-0.0017,0.0108,0.0004,0.0089,0.0344,0.0138
196301,0.0594,0.0638,0.0573,0.0269,0.0564,0.0413,0.0411,0.0565,0.0526,0.0524
196302,-0.0304,-0.0302,-0.0257,-0.0131,-0.0506,-0.0109,-0.0067,-0.0258,-0.0148,-0.0035
196303,0.0257,0.0744,0.0287,0.0697,0.0274,0.0194,0.0201,0.0118,0.0179,0.0287
196304,0.0238,0.0567,0.0469,0.0605,0.0641,0.0373,0.0547,0.0762,0.024,0.0588
196305,0.019,0.0786,0.0207,-0.0011,0.0419,-0.0064,0.0262,-0.0025,0.0103,0.0365
196306,-0.0138,-0.0279,-0.0257,0.0121,-0.0492,-0.0194,-0.0137,-0.0109,-0.0113,-0.0131
196307,-0.0049,-0.0022,-0.014,0.0229,-0.0069,-0.0025,-0.0105,0.0056,0.008,-0.0163
196308,0.0489,0.0655,0.0621,0.0394,0.0514,0.0429,0.0644,0.0956,0.042,0.0554
196309,-0.0169,-0.0024,-0.0077,-0.0364,0.0013,0.0237,0.0093,-0.0406,-0.025,-0.0318
196310,0.0265,0.0972,0.0255,-0.0032,0.0829,0.0343,0.0052,0.0338,-0.0067,0.0138
196311,-0.0113,-0.0484,0.0031,-0.0116,-0.0029,0.0414,-0.0124,-0.0165,-0.0102,0.0023
196312,0.0281,0.0027,0.0192,0.0465,0.0305,-0.0008,0.0033,0.0154,0.0242,0.0281
196401,0.0079,0.0119,0.0269,0.0484,0.0291,0.0333,0.0251,0.0368,0.014,0.0124
196402,0.0187,0.0214,0.0274,0.0106,0.0196,-0.0028,0.0163,0.0166,0.0087,0.055
196403,0.0308,0.0093,0.037,0.014,0.0338,-0.009,0.0244,-0.0194,-0.0075,0.0218
196404,-0.0048,0.0193,-0.0174,0.0403,-0.0363,0.0083,0.0286,-0.0142,0.0106,0.0026
196405,0.0156,0.0112,0.0171,0.0214,0.0274,-0.0039,0.039,0.0053,0.0084,0.0242
196406,0.0161,0.0067,0.0089,0.0065,0.0052,0.047,0.0384,0.0059,0.022,0.0138
196407,0.0176,0.0528,0.0132,0.0334,-0.018,-0.02,0.0121,0.0476,0.0491,0.0134
196408,-0.0026,0.0133,-0.0128,-0.0186,-0.0275,-0.0155,0.0034,-0.0422,-0.0001,-0.0314
196409,0.0169,0.0504,0.048,0.0308,0.0115,-0.0101,0.0349,0.0273,0.0187,0.0405
196410,-0.0018,0.0025,0.0042,0.0307,-0.0099,-0.009,0.0232,0.0288,0.0095,0.0183
196411,0.007,-0.0138,-0.0058,0.0255,-0.0023,-0.022,0.0326,0.0217,0.0137,-0.018
196412,0.0023,0.0167,-0.0068,-0.0024,-0.0001,0.0309,0.0013,0.0438,0.005,-0.0179
196501,0.0608,0.0376,0.0539,0.0052,0.0746,0.0028,0.0306,0.0766,0.0396,0.0472
196502,0.0161,-0.0069,0.0254,-0.0336,0.022,0.008,0.0139,0.0242,0.0043,0.0259
196503,-0.0079,0.0139,-0.0116,-0.0303,-0.0048,-0.0169,-0.008,-0.0093,-0.0052,-0.0026
196504,0.042,0.0704,0.0407,0.0086,0.0514,0.0233,0.0682,0.0298,0.0065,0.0217
196505,-0.0079,-0.0353,-0.0053,0.0087,0.0048,0.0275,0.0023,-0.0124,-0.0097,-0.0168
196506,-0.0513,-0.0683,-0.0625,-0.0198,-0.0571,-0.0418,-0.0621,-0.0531,-0.0366,-0.07
196507,0.016,0.023,0.0209,0.0181,0.036,-0.0038,-0.0139,0.0395,0.0106,0.0341
196508,0.0408,0.0321,0.0353,0.0156,0.0588,0.0133,0.023,0.0629,0.0092,0.0509
196509,0.0046,0.0697,0.0383,0.0437,0.0529,0.0109,-0.0065,0.0224,0.0139,0.0179
196510,0.0263,0.0634,0.0437,0.0184,0.0522,-0.0229,0.0029,0.0323,0.0105,0.0425
196511,0.0111,-0.0403,0.0138,0.0071,0.0273,-0.0432,0.0138,0.038,-0.01,0.039
196512,0.0127,0.0123,0.0324,0.0017,-0.0154,-0.0086,0.0133,0.0383,-0.0031,0.0349
196601,0.019,0.0049,0.0292,0.0104,0.0135,-0.013,-0.0434,0.0274,-0.0302,0.0526
196602,-0.0048,-0.015,-0.0076,-0.0347,0.0503,0.0048,-0.0184,-0.0155,-0.0417,0.0211
196603,-0.0265,-0.0306,-0.0183,-0.0223,-0.009,-0.0484,-0.0207,-0.016,-0.0014,-0.0284
196604,0.0042,0.0011,0.0287,0.0313,0.0765,0.0126,0.031,-0.0002,0.0119,0.0305
196605,-0.0492,-0.0811,-0.057,-0.0374,-0.0605,-0.0298,-0.0293,-0.0525,-0.0273,-0.0788
196606,-0.0179,-0.0211,-0.0096,-0.0227,-0.0013,0.0049,-0.0236,0.0099,-0.0178,0.0074
196607,-0.0118,-0.0243,-0.0159,0.004,-0.0176,-0.0117,-0.0196,-0.0172,-0.0018,-0.0206
196608,-0.0717,-0.0747,-0.0783,-0.0636,-0.0598,-0.046,-0.0639,-0.0807,-0.0859,-0.1179
196609,-0.0148,-0.0103,-0.036,0.0394,-0.019,-0.0057,-0.0201,-0.0113,0.0436,-0.0185
196610,0.045,0.0056,0.025,0.0846,0.003,0.0919,-0.0136,0.0487,0.0994,0.0312
196611,0.0233,-0.0352,0.0278,-0.0114,0.1088,-0.0284,0.0073,0.0689,-0.0136,0.0795
196612,0.0022,-0.0261,0.0138,-0.0066,0.0041,0.0298,-0.0416,-0.0017,0.021,0.0212
196701,0.0942,0.122,0.1119,0.0359,0.102,0.0623,0.1183,0.0641,0.0284,0.1197
