,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193103,-0.0169,-0.0381,-0.0677,-0.1426,-0.0776,-0.0358,-0.0327,0.018,-0.0294,-0.094
193104,-0.0529,-0.0787,-0.1415,-0.1345,-0.1304,-0.0425,-0.0484,-0.0362,-0.0904,-0.0989
193105,-0.1101,-0.1608,-0.1642,-0.1254,-0.1292,-0.0894,-0.0327,-0.1026,-0.1115,-0.1739
193106,0.1073,0.1463,0.1738,0.1757,0.1869,0.1021,0.0786,0.0969,0.11,0.1622
193107,-0.0381,-0.021,-0.1023,-0.0363,-0.1038,-0.0487,-0.0153,0.0261,-0.0539,-0.0986
193108,-0.0065,-0.0278,-0.0015,0.0948,0.0371,0.0082,0.0302,0.0039,-0.0174,-0.0398
193109,-0.2469,-0.348,-0.2982,-0.2984,-0.3387,-0.2156,-0.3024,-0.2945,-0.3305,-0.265
193110,0.0689,0.1296,0.0618,0.1402,0.113,0.0434,0.1397,0.1126,0.1048,0.019
193111,-0.0435,-0.0349,-0.0831,-0.0869,-0.1416,-0.0686,-0.094,-0.0279,-0.0477,-0.1917
193112,-0.0951,-0.0878,-0.1533,-0.1891,-0.1354,-0.0794,-0.1517,-0.041,-0.1324,-0.1653
193201,0.0206,-0.069,-0.005,-0.0486,-0.1142,-0.0404,0.0079,-0.0266,-0.0252,0.0679
193202,0.0537,0.0209,0.0596,0.0875,0.0628,0.1163,0.0411,0.0205,0.0704,-0.0028
193203,-0.0598,-0.2218,-0.1436,-0.011,-0.1441,-0.099,-0.0927,-0.0641,-0.0957,-0.1596
193204,-0.1135,-0.2953,-0.2295,-0.1394,-0.2417,-0.1239,-0.1571,-0.1977,-0.155,-0.2236
193205,-0.2122,-0.1859,-0.1819,-0.0556,-0.286,-0.1081,-0.2928,-0.3408,-0.2682,-0.3002
193206,0.0116,-0.0782,-0.0252,0.0594,0.0699,-0.0955,-0.0059,0.1105,0.0145,-0.02
193207,0.247,0.4495,0.4174,0.3513,0.442,0.167,0.2711,0.2918,0.2935,0.5585
193208,0.2271,0.4525,0.4641,0.1949,0.4564,0.2817,0.3291,0.3587,0.4346,0.5867
193209,-0.0086,0.085,-0.0245,-0.1016,-0.056,0.0024,0.0306,-0.1192,-0.0465,-0.0415
193210,-0.1141,-0.2475,-0.1583,-0.0379,-0.1904,-0.0813,-0.1268,-0.1856,-0.1082,-0.1799
193211,-0.071,-0.0271,-0.103,-0.0453,-0.0825,-0.0112,-0.0561,0.0553,-0.036,-0.069
193212,0.0381,0.0447,0.0325,0.0005,0.0753,0.0367,0.05,0.0682,0.0912,0.0488
193301,0.0466,0.0083,0.0342,-0.0301,0.0143,0.0031,-0.024,-0.0113,-0.0438,0.0853
193302,-0.0906,-0.2448,-0.1753,-0.139,-0.2009,-0.0777,-0.1796,-0.1082,-0.1985,-0.1641
193303,0.1037,0.0923,0.1126,0.0439,0.0623,-0.0585,0.0853,-0.0316,-0.1279,0.0377
193304,0.3417,0.7979,0.572,0.3899,0.5349,0.1322,0.4245,0.3713,0.2536,0.308
193305,0.1271,0.2605,0.2603,0.1771,0.1982,0.1737,0.1706,0.2349,0.1929,0.3154
193306,0.1034,0.2075,0.1239,0.125,0.1082,0.105,0.1626,0.1039,0.1558,0.145
193307,-0.0661,-0.0705,-0.1136,-0.1205,-0.1107,-0.0436,-0.1346,-0.1911,-0.1358,-0.0662
193308,0.0986,0.2076,0.1621,0.1907,0.1289,0.0453,0.0715,-0.0038,-0.0123,0.1459
193309,-0.0745,-0.1532,-0.1009,-0.0269,-0.1714,-0.0356,-0.0874,-0.0131,-0.1974,-0.1639
193310,-0.0912,-0.1006,-0.0802,-0.0485,-0.0973,-0.0718,-0.0783,-0.0602,-0.075,-0.1091
193311,0.0521,0.2538,0.1273,0.1469,0.1283,0.0563,0.1445,0.094,-0.0239,0.0535
193312,-0.0339,0.1045,0.0461,-0.012,0.0149,-0.0375,0.0457,-0.1173,0.0105,0.047
193401,0.1002,0.132,0.1109,0.0872,0.1608,0.0597,0.173,0.1677,0.2052,0.1858
193402,-0.0498,-0.0206,-0.0316,-0.0338,-0.0631,0.0212,0.0303,-0.0359,-0.0169,-0.0188
193403,0.0117,-0.003,-0.0125,-0.0133,0.0318,0.0127,0.024,-0.0064,-0.018,0.0082
193404,0.031,-0.0685,-0.0275,-0.0199,-0.0233,-0.0125,-0.0121,0.08,-0.0375,-0.016
193405,-0.03,-0.1282,-0.1006,-0.0463,-0.066,-0.043,-0.0792,-0.0038,-0.0773,-0.0736
